id,person
1476,carmen pandiella
1477,cuevas
1477,évole
1479,swiftie
1480,jorge fernández
1481,nno
1484,jordi évole
1484,rodrigo cuevas
1487,jordi évole
1487,rodrigo cuevas
1489,asturias
1493,reyes ceñal
1494,jordi évole
1494,rodrigo cuevas
1496,nuria rodríguez
1497,jordi évole
1497,rodrigo cuevas
1498,jordi évole
1498,rodrigo cuevas
1499,jordi évole
1499,rodrigo cuevas
1501,andecha astur
1509,taylor swift
1513,vinicius
1513,vinicius
1513,pepe
1513,valverde el santo
1514,negreira
1514,florentino pérez
1516,vinicius
1517,vinicius
1520,vinicius
1525,pep guardiola
1532,cabrera infante dixit
1532,maría del socorro tellado lópez
1533,pedro sánchez cidoncha
1533,el franco
1542,ibai
1544,jordi évole
1544,rodrigo cuevas
1546,ibai
1546,piqué
1547,rodrigo cuevas
1554,sara villanueva
1566,sergio hidalgo
1576,leopoldo garcía
1579,alicia villanueva
1579,carlos velasco
1580,"sergi albert

fieles"
1580,jorge expl
1585,juan carlos i
1585,borbón
1586,meryl streep
1587,mourinho
1593,florentino
1593,gavi
1594,xixón
1599,laporta
1606,villarato
1606,clos gómez
1609,pelayo
1610,yá
1612,gerard piqué
1614,vinicius
1614,vinicius
1614,rodrigo
1614,rudiger
1614,álaba
1614,tchoumeani
1614,mendy
1614,vinicius
1621,helena gil
1622,faraón
1625,cuevas
1626,piqué
1627,rey silo
1627,ernesto madera
1630,fernando alonso
1630,taylor swift
1630,meryl streep
1640,gerard piqué
1640,ibai llanos
1650,lucía velasco
1652,ponferrada
1654,javier
1654,juan carlos i
1654,letizia
1666,swiftie
1666,asturiana
1673,quijote
1679,nuberu
1686,joel martínez barba
1692,diego frechilla lópez
1694,alejandra
1699,aroa riesgo
1704,lucía velasco
1707,juan manuel menéndez
1707,"juanín,"
1707,ábalo
1707,redondo
1707,peral
1707,castañeda
1707,duarte
1707,milo
1707,rafa
1707,megido
1707,pulgar
1707,sindo
1710,sergio llull
1710,rudy fernández
1710,valverde
1710,carvajal
1710,vinicius
1711,antón garcía
1716,adelina covián
1716,iris reichel
1723,vinicius
1730,josé manzaneda
1750,gallego
1752,aurelio
1752,rey asturias
1755,helena gil
1761,ash
1761,hanna
1763,edgar
1763,vinicius
1764,ancelotti
1764,vinicius
1764,vinicius
1764,vinicius
1764,vinicius
1764,neymar
