id,emoji,description,ocurrences
853,🥩,cut of meat,1
853,🧐,face with monocle,1
854,📝,memo,1
854,🔗,link,1
854,📸,camera with flash,1
854,📰,newspaper,1
854,🤾‍♀️,woman playing handball,1
855,📝,memo,1
855,🔗,link,1
855,📸,camera with flash,1
855,📰,newspaper,1
855,🤾‍♀️,woman playing handball,1
856,😱,face screaming in fear,1
856,🔽,downwards button,1
856,👉🏼,backhand index pointing right: medium-light skin tone,1
857,😱,face screaming in fear,1
857,🔽,downwards button,1
857,👉🏼,backhand index pointing right: medium-light skin tone,1
864,😊,smiling face with smiling eyes,1
864,💪,flexed biceps,1
876,🙏,folded hands,5
877,🐀,rat,2
880,🐀,rat,1
880,🤡,clown face,1
883,🤣,rolling on the floor laughing,3
884,🐀,rat,1
884,😂,face with tears of joy,4
884,🤡,clown face,3
890,🤝,handshake,1
891,🟨,yellow square,1
891,📲,mobile phone with arrow,1
892,🤮,face vomiting,3
893,⚽,soccer ball,1
896,💥,collision,1
896,👉,backhand index pointing right,1
897,😳,flushed face,1
897,🤡,clown face,1
900,💥,collision,1
900,👉,backhand index pointing right,1
902,🔴,red circle,1
902,✅,check mark button,1
902,🔽,downwards button,1
904,❤️,red heart,4
916,🐀,rat,3
919,✊🏼,raised fist: medium-light skin tone,1
919,🚩,triangular flag,1
919,👉🏽,backhand index pointing right: medium skin tone,1
919,📣,megaphone,1
929,💩,pile of poo,1
929,✍️,writing hand,1
933,👥,busts in silhouette,1
933,🕘,nine o’clock,1
933,📋,clipboard,1
933,🗓️,spiral calendar,1
933,✔️,check mark,1
935,🤥,lying face,1
935,🤦‍♂️,man facepalming,1
935,💰,money bag,1
937,👉,backhand index pointing right,1
956,👍,thumbs up,1
956,😂,face with tears of joy,3
957,👍,thumbs up,1
957,😂,face with tears of joy,3
958,➡️,right arrow,1
959,➡️,right arrow,1
964,📷,camera,3
965,📷,camera,3
968,💚,green heart,1
968,👉,backhand index pointing right,1
968,⛰️,mountain,1
968,🐻,bear,1
969,💚,green heart,1
969,👉,backhand index pointing right,1
969,⛰️,mountain,1
969,🐻,bear,1
984,😍,smiling face with heart-eyes,1
985,😍,smiling face with heart-eyes,1
990,👉🏻,backhand index pointing right: light skin tone,1
991,👉🏻,backhand index pointing right: light skin tone,1
994,😂,face with tears of joy,1
995,😂,face with tears of joy,1
1020,🐀,rat,1
1021,🐀,rat,1
1032,😂,face with tears of joy,4
1033,😂,face with tears of joy,4
1036,👏🏻,clapping hands: light skin tone,1
1036,👉,backhand index pointing right,1
1036,👏🏼,clapping hands: medium-light skin tone,1
1037,👏🏻,clapping hands: light skin tone,1
1037,👉,backhand index pointing right,1
1037,👏🏼,clapping hands: medium-light skin tone,1
1050,🍴,fork and knife,1
1050,🥩,cut of meat,1
1050,🧐,face with monocle,1
1051,🍴,fork and knife,1
1051,🥩,cut of meat,1
1051,🧐,face with monocle,1
1052,📝,memo,1
1052,🔗,link,1
1052,📸,camera with flash,1
1052,📰,newspaper,1
1052,🤾‍♀️,woman playing handball,1
1053,📝,memo,1
1053,🔗,link,1
1053,📸,camera with flash,1
1053,📰,newspaper,1
1053,🤾‍♀️,woman playing handball,1
1054,😱,face screaming in fear,1
1054,🔽,downwards button,1
1054,👉🏼,backhand index pointing right: medium-light skin tone,1
1055,😱,face screaming in fear,1
1055,🔽,downwards button,1
1055,👉🏼,backhand index pointing right: medium-light skin tone,1
1058,🔴,red circle,1
1062,🤮,face vomiting,1
1065,❤️,red heart,1
1065,👍,thumbs up,1
1065,💯,hundred points,1
1072,🍽️,fork and knife with plate,1
1076,▶️,play button,1
1079,🌽,ear of corn,1
1079,↘️,down-right arrow,1
1079,🍉,watermelon,1
1079,‼️,double exclamation mark,1
1079,🥕,carrot,1
1080,🗣️,speaking head,1
1080,🍊,tangerine,1
1080,💪🏻,flexed biceps: light skin tone,1
1083,😂,face with tears of joy,5
1084,🌹,rose,1
1084,❤️,red heart,1
1087,⚽,soccer ball,1
1090,🥵,hot face,1
1094,🔴,red circle,1
1097,📺,television,1
1099,ℹ️,information,1
1101,🔴,red circle,1
1104,🤗,hugging face,1
1104,🙋🏻‍♂️,man raising hand: light skin tone,1
1104,🟠,orange circle,1
1105,🌍,globe showing Europe-Africa,1
1105,🍏,green apple,1
1106,🍏,green apple,1
1106,🌍,globe showing Europe-Africa,1
1110,🐀,rat,4
1111,🐀,rat,5
1111,😂,face with tears of joy,1
1112,🔴,red circle,1
1113,🆕,NEW button,1
1120,😁,beaming face with smiling eyes,1
1122,🇪🇸,flag: Spain,1
1122,➡️,right arrow,1
1122,🇦🇷,flag: Argentina,1
1126,😉,winking face,2
1127,🔲,black square button,1
1132,📺,television,1
1157,😂,face with tears of joy,1
1158,✅,check mark button,1
1160,📺,television,1
1163,🤣,rolling on the floor laughing,1
1164,❤️,red heart,1
1164,👍,thumbs up,1
1164,💯,hundred points,1
1169,▶️,play button,2
1170,👉,backhand index pointing right,1
1170,ℹ️,information,1
1172,🚵‍♀️,woman mountain biking,1
1172,👇,backhand index pointing down,1
1173,💥,collision,1
1173,💚,green heart,1
1179,👇,backhand index pointing down,1
1189,🗣,speaking head,1
1189,📖,open book,1
1191,🔗,link,1
1191,🚵‍♂️,man mountain biking,1
1191,🚵‍♀️,woman mountain biking,1
1192,👇,backhand index pointing down,1
1210,⚓,anchor,1
1213,🔲,black square button,1
1213,🔳,white square button,1
1214,💚,green heart,5
1214,🤣,rolling on the floor laughing,1
1214,💙,blue heart,5
1214,❤️,red heart,3
1219,📚,books,1
1225,🤓,nerd face,1
1225,🙃,upside-down face,1
1225,🤪,zany face,1
1225,🙆‍♀️,woman gesturing OK,1
1226,🗣️,speaking head,1
1226,💻,laptop,1
1226,🔛,ON! arrow,1
1231,📌,pushpin,1
1235,⬇️,down arrow,1
1237,📌,pushpin,1
1239,🏃‍♂️,man running,1
1239,🧵,thread,1
1243,📌,pushpin,1
1244,🎨,artist palette,2
1244,👇,backhand index pointing down,1
1251,📢,loudspeaker,1
1255,🔎,magnifying glass tilted right,1
1255,📆,tear-off calendar,1
1255,⚠️,warning,2
1256,▶️,play button,2
1258,🗣️,speaking head,2
1258,➕,plus,1
1258,👉,backhand index pointing right,1
1258,🗓️,spiral calendar,1
1258,📌,pushpin,2
1269,📌,pushpin,1
1269,✅,check mark button,1
1269,🏒,ice hockey,1
1269,✖️,multiply,1
1272,👉,backhand index pointing right,2
1273,🚨,police car light,2
1273,✍️,writing hand,1
1274,😑,expressionless face,1
1279,🏁,chequered flag,1
1279,🔳,white square button,1
1283,🚌,bus,1
1283,🎂,birthday cake,1
1283,🔵,blue circle,1
1283,⚪,white circle,1
1283,💙,blue heart,1
1283,🤗,hugging face,1
1286,🏅,sports medal,1
1286,🔽,downwards button,1
1292,📸,camera with flash,1
1293,📝,memo,1
1294,🌿,herb,1
1296,📗,green book,1
1296,📙,orange book,1
1296,🏆,trophy,1
1296,👉,backhand index pointing right,1
1296,📘,blue book,1
1296,‼️,double exclamation mark,1
1297,🎙,studio microphone,1
1297,😉,winking face,1
1297,🗣,speaking head,1
1297,👏,clapping hands,3
1298,🍎,red apple,1
1298,🍏,green apple,1
1301,🔲,black square button,1
1301,📖,open book,1
1302,🎉,party popper,1
1305,🍎,red apple,1
1305,🍏,green apple,1
1311,😊,smiling face with smiling eyes,1
1311,💪,flexed biceps,1
1311,😀,grinning face,1
1312,😊,smiling face with smiling eyes,1
1312,💪,flexed biceps,1
1323,💃,woman dancing,1
1323,😂,face with tears of joy,1
1323,❤️,red heart,1
1330,✍️,writing hand,1
1330,🗓️,spiral calendar,3
1331,🎶,musical notes,3
1331,🤍,white heart,1
1331,❤️,red heart,1
1334,🏊,person swimming,1
1336,🐂,ox,1
1341,🐂,ox,1
1343,🔲,black square button,1
1343,📶,antenna bars,1
1343,🔳,white square button,1
1346,😊,smiling face with smiling eyes,2
1348,📍,round pushpin,1
1349,👉,backhand index pointing right,1
1352,🗣️,speaking head,1
1360,🗣️,speaking head,1
1363,🤪,zany face,1
1365,🇪🇸,flag: Spain,1
1365,➡️,right arrow,1
1365,🏑,field hockey,2
1365,⬇️,down arrow,2
1377,🔵,blue circle,1
1377,🚀,rocket,1
1383,🥘,shallow pan of food,1
1392,🐀,rat,1
1392,🤡,clown face,1
1399,⭕,hollow red circle,1
1401,🚜,tractor,1
1401,🌾,sheaf of rice,1
1401,🐄,cow,1
1405,🇩🇪,flag: Germany,1
1405,👇🏻,backhand index pointing down: light skin tone,1
1405,🛫,airplane departure,1
1405,🇪🇸,flag: Spain,1
1405,✅,check mark button,1
1407,💀,skull,1
1407,💖,sparkling heart,3
1416,↘️,down-right arrow,1
1417,💛,yellow heart,1
1417,💙,blue heart,1
1418,🎙️,studio microphone,1
1423,👏🏻,clapping hands: light skin tone,4
1426,➡️,right arrow,1
1433,😂,face with tears of joy,4
1439,😀,grinning face,1
1439,🟡,yellow circle,1
1439,🔳,white square button,1
1439,💙,blue heart,1
1450,🏃‍♀,woman running,2
1452,😜,winking face with tongue,3
1453,🥛,glass of milk,1
1455,🐂,ox,2
1455,🏀,basketball,1
1464,👅,tongue,1
1465,🖤,black heart,1
1465,💛,yellow heart,1
1465,💙,blue heart,1
1465,🏓,ping pong,1
1465,❤️,red heart,1
1466,🗳️,ballot box with ballot,1
1466,🗞️,rolled-up newspaper,1
1466,🗣️,speaking head,1
1466,👇,backhand index pointing down,1
1468,👉,backhand index pointing right,3
1468,🌸,cherry blossom,1
1468,🍏,green apple,1
1471,✔,check mark,3
1477,📣,megaphone,1
1478,😍,smiling face with heart-eyes,1
1488,▶️,play button,3
1492,👥,busts in silhouette,1
1492,🕘,nine o’clock,1
1492,📋,clipboard,1
1492,➡️,right arrow,1
1492,🗓️,spiral calendar,1
1493,🚀,rocket,1
1493,👀,eyes,1
1493,🌍,globe showing Europe-Africa,1
1493,👉,backhand index pointing right,1
1493,🙋‍♀️,woman raising hand,1
1493,🙋‍♂️,man raising hand,1
1493,💡,light bulb,1
1500,✅,check mark button,2
1500,😡,pouting face,2
1500,❌,cross mark,2
1500,😎,smiling face with sunglasses,2
1504,🧵,thread,1
1507,🥛,glass of milk,1
1508,🐘,elephant,1
1522,➡,right arrow,1
1530,👇🏿,backhand index pointing down: dark skin tone,1
1549,➡️,right arrow,1
1556,🐂,ox,2
1557,🐂,ox,1
1560,🟠,orange circle,1
1560,🧠,brain,1
1565,🔴,red circle,1
1567,😂,face with tears of joy,1
1569,💖,sparkling heart,1
1577,🔴,red circle,1
1583,😋,face savoring food,1
1590,🐄,cow,1
1595,📍,round pushpin,1
1598,👉,backhand index pointing right,1
1598,😱,face screaming in fear,1
1600,😍,smiling face with heart-eyes,1
1600,🆕,NEW button,1
1603,✨,sparkles,1
1603,🏻,light skin tone,1
1605,🤣,rolling on the floor laughing,3
1607,😜,winking face with tongue,3
1608,👇,backhand index pointing down,1
1609,📍,round pushpin,1
1609,⏲️,timer clock,1
1609,📅,calendar,1
1616,🏘,houses,1
1616,⬇️,down arrow,3
1618,🤩,star-struck,1
1629,⏰,alarm clock,1
1632,😝,squinting face with tongue,2
1638,↘️,down-right arrow,1
1639,📲,mobile phone with arrow,1
1639,📸,camera with flash,1
1641,👩🏼,woman: medium-light skin tone,1
1641,🏆,trophy,1
1641,🤞🏻,crossed fingers: light skin tone,1
1641,🔥,fire,1
1645,🔴,red circle,1
1649,📢,loudspeaker,1
1649,👉,backhand index pointing right,1
1649,👀,eyes,1
1653,🏞,national park,1
1653,🎂,birthday cake,1
1653,💛,yellow heart,1
1653,💙,blue heart,1
1660,👇🏼,backhand index pointing down: medium-light skin tone,1
1670,⏰,alarm clock,1
1670,⚖️,balance scale,1
1672,✍️,writing hand,1
1672,👇🏾,backhand index pointing down: medium-dark skin tone,1
1672,🇨🇴,flag: Colombia,1
1672,🏾,medium-dark skin tone,2
1672,‼️,double exclamation mark,1
1674,🔹,small blue diamond,1
1679,🔽,downwards button,1
1680,✊🏻,raised fist: light skin tone,1
1680,⚒️,hammer and pick,1
1680,🏳️‍⚧️,transgender flag,1
1686,😞,disappointed face,1
1686,🚬,cigarette,2
1686,🤘,sign of the horns,1
1688,⬇️,down arrow,3
1688,🚂,locomotive,1
1689,💀,skull,1
1690,ℹ️,information,1
1690,👥,busts in silhouette,1
1690,🕘,nine o’clock,1
1690,📋,clipboard,1
1690,🗓️,spiral calendar,1
1690,🔐,locked with key,1
1692,➡️,right arrow,1
1693,😎,smiling face with sunglasses,1
1693,⚠️,warning,2
1700,🇪🇸,flag: Spain,1
1701,✅,check mark button,1
1708,🌈,rainbow,1
1708,💛,yellow heart,1
1708,🏳️‍⚧️,transgender flag,1
1708,💙,blue heart,2
1714,✅,check mark button,1
1714,🍾,bottle with popping cork,1
1722,😌,relieved face,1
1724,👏🏻,clapping hands: light skin tone,2
1727,🏎️,racing car,1
1727,🌲,evergreen tree,1
1730,🇪🇸,flag: Spain,1
1730,🏅,sports medal,1
1732,✅,check mark button,1
1732,👉,backhand index pointing right,1
1734,🤦🏽‍♂️,man facepalming: medium skin tone,1
1735,🥂,clinking glasses,1
1735,👍,thumbs up,1
1735,😋,face savoring food,1
1740,📅,calendar,1
1741,💦,sweat droplets,2
1744,👇,backhand index pointing down,1
1747,🟡,yellow circle,1
1747,📆,tear-off calendar,1
1747,🔎,magnifying glass tilted right,1
1750,🛍️,shopping bags,1
1751,✅,check mark button,1
1754,➡,right arrow,1
1757,👍,thumbs up,1
1757,😍,smiling face with heart-eyes,1
1759,💛,yellow heart,1
1759,💙,blue heart,2
1760,💋,kiss mark,3
1760,💄,lipstick,1
1765,😳,flushed face,3
1765,😜,winking face with tongue,3
1770,🎸,guitar,1
1773,🏞️,national park,1
1775,⬇️,down arrow,3
1781,📍,round pushpin,1
1781,🔵,blue circle,1
1793,👏,clapping hands,3
1795,👏,clapping hands,3
1796,👏,clapping hands,3
1797,👍,thumbs up,1
1802,🎶,musical notes,1
1802,⤵️,right arrow curving down,1
1802,💿,optical disk,1
1805,🤰🏼,pregnant woman: medium-light skin tone,1
1806,📅,calendar,1
1806,📝,memo,1
1806,💸,money with wings,1
1806,📣,megaphone,4
1806,👉,backhand index pointing right,1
1806,🧑‍🏫,teacher,1
1810,👉🏻,backhand index pointing right: light skin tone,2
1810,💙,blue heart,1
1811,‼,double exclamation mark,1
1811,✍️,writing hand,1
1811,🗓️,spiral calendar,3
1814,🛳,passenger ship,1
1824,😳,flushed face,1
1824,🧐,face with monocle,1
1824,📣,megaphone,1
1835,⚽,soccer ball,1
1842,⚽,soccer ball,1
1842,ℹ️,information,1
1846,💚,green heart,1
1846,🔥,fire,1
1852,😉,winking face,1
1853,😂,face with tears of joy,3
1860,🤯,exploding head,1
1862,⤵️,right arrow curving down,1
1862,📽️,film projector,1
1867,🔴,red circle,1
1867,🏆,trophy,1
1867,✍️,writing hand,1
1867,🖇️,linked paperclips,1
1868,🤣,rolling on the floor laughing,1
1871,⚽,soccer ball,1
1871,▶,play button,1
1883,🎶,musical notes,1
1883,🎨,artist palette,1
1883,🍾,bottle with popping cork,1
1883,🏘️,houses,1
1884,💥,collision,1
1884,🌷,tulip,1
1884,🌚,new moon face,1
1886,🎥,movie camera,1
1890,📰,newspaper,1
1891,👧🏽,girl: medium skin tone,1
1891,🧒🏽,child: medium skin tone,1
1892,💥,collision,1
1892,➡️,right arrow,1
1892,✅,check mark button,1
1892,🔹,small blue diamond,1
1895,👏,clapping hands,2
1895,👇,backhand index pointing down,1
1898,↘️,down-right arrow,1
1899,🗣️,speaking head,1
1899,➡️,right arrow,1
1899,📰,newspaper,1
1908,©,copyright,1
1921,🥩,cut of meat,1
1930,🥂,clinking glasses,1
1930,💛,yellow heart,1
1934,♥️,heart suit,1
1935,😭,loudly crying face,5
1935,😂,face with tears of joy,1
1938,💨,dashing away,1
1939,ℹ️,information,1
1939,🕘,nine o’clock,1
1939,📋,clipboard,1
1939,🗓️,spiral calendar,1
1939,🔐,locked with key,1
1943,🏟,stadium,1
1943,🏆,trophy,1
1943,💪,flexed biceps,1
1943,🔴,red circle,2
1943,📸,camera with flash,1
1943,🏉,rugby football,1
1943,🥉,3rd place medal,1
1943,🟡,yellow circle,1
1943,‼️,double exclamation mark,2
1944,🏟,stadium,1
1944,🏆,trophy,1
1944,💪,flexed biceps,1
1944,🔴,red circle,2
1944,📸,camera with flash,1
1944,🏉,rugby football,1
1944,🥉,3rd place medal,1
1944,🟡,yellow circle,1
1944,‼️,double exclamation mark,2
1945,🏟,stadium,1
1945,🏆,trophy,1
1945,💪,flexed biceps,1
1945,🔴,red circle,2
1945,📸,camera with flash,1
1945,🏉,rugby football,1
1945,🥉,3rd place medal,1
1945,🟡,yellow circle,1
1945,‼️,double exclamation mark,2
1947,🇪🇸,flag: Spain,1
1952,💥,collision,2
1952,➡️,right arrow,1
1960,😀,grinning face,1
1960,💪,flexed biceps,1
1960,🤝,handshake,1
1960,😊,smiling face with smiling eyes,1
1962,😭,loudly crying face,1
1967,👏,clapping hands,2
1969,👏,clapping hands,11
1969,👇,backhand index pointing down,12
1975,📣,megaphone,1
1978,😅,grinning face with sweat,1
1979,🗣,speaking head,1
1979,🏘,houses,1
1979,👇,backhand index pointing down,1
1985,📍,round pushpin,1
1985,📷,camera,1
1986,😋,face savoring food,2
1991,📢,loudspeaker,1
1995,🗣️,speaking head,1
1995,👉,backhand index pointing right,1
2003,🎙️,studio microphone,1
2008,🔥,fire,1
2015,👉🏻,backhand index pointing right: light skin tone,1
2015,📸,camera with flash,1
2015,💛,yellow heart,1
2015,💙,blue heart,1
2016,🗣️,speaking head,1
2016,📚,books,1
2016,💻,laptop,1
2016,👇,backhand index pointing down,1
2016,🎙️,studio microphone,1
2019,🗣️,speaking head,1
2019,🔵,blue circle,1
2020,🥳,partying face,1
2020,✊🏽,raised fist: medium skin tone,1
2023,👨,man,2
2023,📅,calendar,1
2023,💼,briefcase,2
2023,🎉,party popper,1
2025,❤️,red heart,1
2027,📲,mobile phone with arrow,1
2030,🗣,speaking head,1
