Topic,Words,Frequency,Timestamp
70,"mood, bad, qjt4tco2kk, acces, jinwoo",10,2023-04-05
71,"cookies, uptqnqaflj, bzlhagsncf, baacswa9sv, xo9meomcc3",10,2023-04-05
72,"arroz, con, leche, noodles, tfqr987xnj",14,2023-04-05
73,"sugar, dulce, de, leche, has",59,2023-04-05
74,"coconut, jota, lullaby, coco, kkfukkzusl",16,2023-04-05
75,"fish, breakfast, oatmeal, bread, sheep",17,2023-04-05
76,"croissants, coffee, sometimes, 81q0psiyua, dk5es3uiab",7,2023-04-05
77,"tweet, 14emhvcl6r, w9efd8o88a, megalomania, sweatier",4,2023-04-05
78,"swallow, csfmuxjhbf, rffif9nouw, 3cttiekl6g, oyffkcxqyy",5,2023-04-05
79,"daddy, 2xbylptgrx, 77f7khvv4e, quepocamadremex, mexicanolindo3",7,2023-04-05
80,"calentic, dgwk3gp9uv, o3y0lkeanw, gjbarrksf2, bathed",3,2023-04-05
81,"oreos, oreo, foretold, 18sigkmpi1, vcecm80rir",12,2023-04-05
82,"kxomv0l3s3, oanvzz2jg8, jeolf6dltw, sjdjkkkk, argentinian",3,2023-04-05
83,"churros, churro, dulce, de, leche",10,2023-04-05
84,"much, jjemmxftro, wugvjxm9qo, firstdates5a, 10l",8,2023-04-05
85,"jzjdjshjsja, jsjsjjj, guaranga, 9m2izthl8p, hajsnakshahaha",8,2023-04-05
86,"strawberry, milkshake, miiiiiii, t7umfspuhu, yzimcfwqu5",8,2023-04-05
87,"breakfast, p25knxskym, 7pwrddk2cs, wrcrdrva9b, jqmp4sbwug",6,2023-04-05
88,"lpm, bad, aifw5lvejd, bari, what",8,2023-04-05
89,"smell, smells, perfume, lywk9zxmof, clarifying",9,2023-04-05
90,"rt, cztrsbfsap, f5eeabeimo, bv9yt2adj4, rap2ojaimj",6,2023-04-05
91,"sirens, drink, leche, portals, siren",114,2023-04-05
92,"soy, jkfgxuzvuf, lcdjpvwopi, excess, creamier",4,2023-04-05
93,"delicious, fahxvbrauj, 5onakj6ipx, ok_francott, y6csjwdffa",8,2023-04-05
94,"bb, kisses, wherever, mommy, favorite",5,2023-04-05
95,"vamos, cheese, mightymilk, nutrition, hand",15,2023-04-05
96,"sleep, go, catalanes, 6uex6wcunx, glass",8,2023-04-05
97,"bread, breads, eg0h8mj3xq, oihi7omkmn, n253ze5jrr",9,2023-04-05
98,"eggs, egg, loaded, onlyfansbabe, gvvg04v6eo",8,2023-04-05
99,"yogurt, hoyoverse, greek, sachet, buffalo",11,2023-04-05
100,"bread, butter, toast, dulce, de",12,2023-04-05
101,"marcos, romina, bad, yeyo, nacho",13,2023-04-05
102,"cold, glass, unfixed, vtlvvvvv, ayyeeeerr",5,2023-04-05
103,"kill, myself, icy, pudding, bleeding",2,2023-04-05
104,"zhea, handroll, hurt, drink, whole",7,2023-04-05
105,"his, her, he, him, nipples",9,2023-04-05
106,"spilled, cry, over, crying, prevented",6,2023-04-05
107,"qar2ijrteb, ig9pfpt4r7, hypocrisy, drink, toy",3,2023-04-05
108,"rico, ricooooooo, yum, pipipipipipipipi, bqlqigpe9w",8,2023-04-05
109,"mi, te, femboycutie, gemir, hago",2,2023-04-05
110,"laughed, month, gunbound, aqeviykcrb, 6thousand",4,2023-04-05
111,"licking, adwlluq79g, lick, feet, licks",1,2023-04-05
112,"frother, cappuccino, superautomatic, etqnwehr2t, dpluhezmaa",3,2023-04-05
113,"hot, mv5l9nbrct, llqtitpop5, ty5lbbeple, 8zr2dtisbw",4,2023-04-05
114,"opera, soap, uncharismatic, trainspotting, ore8lswhhk",4,2023-04-05
117,"expired, akabo, 2hp88z91nq, cuaaandooo, fl4rvcbgzb",6,2023-04-05
118,"tiger, microfossils, sanadoresyherboristas, 0dwgmwvrcf, yarrow",5,2023-04-05
119,"cuckold, jfzlv5jmfb, 1dcyd7okc0, laid, sees",2,2023-04-05
120,"açaí, whipped, fruit, passion, syd6s7krui",8,2023-04-05
121,"cappuccino, sugar, caramel, lightdeslaxt, sufreeee",6,2023-04-05
122,"shaken, coffee, shake, pulpafit, ramiro",6,2023-04-05
123,"tsxt8gh3fz, shfstbxxuc, poop, shit, hard",2,2023-04-05
124,"banana, g6e8m3vaek, shields, weas, asian",2,2023-04-05
-1,"milk, and, the, https, co",1933,2023-04-06
0,"000, of, the, in, they",156,2023-04-06
1,"coffee, with, milk, drink, and",128,2023-04-06
2,"pudding, rice, made, mom, my",165,2023-04-06
3,"healthy, lifestyle, life, physical, health",78,2023-04-06
4,"bad, what, people, milk, have",66,2023-04-06
5,"hit, head, had, car, was",58,2023-04-06
6,"madrid, bad, barça, the, win",42,2023-04-06
7,"latte, matcha, cold, crescents, iced",45,2023-04-06
8,"breast, breastfeeding, donation, farías, human",12,2023-04-06
9,"asturiana, itzulia2023, asturian, la, santurtzi",54,2023-04-06
10,"penalty, beaten, souza, jael, badly",69,2023-04-06
11,"gay, cum, verga, polla, dick",34,2023-04-06
12,"beat, nothing, up, beats, getting",45,2023-04-06
13,"lactose, free, intolerant, whole, drink",41,2023-04-06
14,"chocolate, fresh, vanilla, milk, dark",28,2023-04-06
15,"cereal, cereals, first, then, before",26,2023-04-06
16,"almond, tastes, milk, bought, rest",27,2023-04-06
17,"dick, cock, suck, my, until",31,2023-04-06
18,"video, videos, ars, photos, onlyfans",26,2023-04-06
19,"pump, pumping, pumped, someone, my",25,2023-04-06
20,"milkshake, bury, solve, fqs2ax65t1, y5ll1uw03u",13,2023-04-06
21,"people, bad, envious, how, be",23,2023-04-06
22,"he, him, his, rufus, televisa",18,2023-04-06
23,"condensed, strawberries, foam, asraf, octagons",26,2023-04-06
24,"wants, want, give, who, https",24,2023-04-06
25,"cockroach, rule, scientists, joking, feed",45,2023-04-06
26,"shaken, shake, qorc12bk7d, zolp, v258i10wri",10,2023-04-06
27,"physical, change, yahir, mena, shocking",13,2023-04-06
28,"shake, protein, weight, figurmed, metabolaid",13,2023-04-06
29,"cow, livestock, cows, udder, sos",14,2023-04-06
30,"dulce, de, leche, invention, yo",23,2023-04-06
31,"painted, as, cow, bad, is",25,2023-04-06
32,"baby, son, mother, father, dad",21,2023-04-06
33,"mala, leche, reformas, andreavillag0me, 4r56y13bck",12,2023-04-06
34,"ass, dripping, my, butt, fill",19,2023-04-06
35,"brothers, sisters, brother, sister, fffqgnsihh",16,2023-04-06
36,"leche, orca, driiiink, arequipe, la",18,2023-04-06
37,"her, she, lana, herself, p3nvsnbj1f",15,2023-04-06
38,"ice, cream, dulce, de, leche",19,2023-04-06
39,"dulce, souffle, atvbzzpimq, rkzhgmohrm, qpgz3gcnch",4,2023-04-06
40,"gusto, dolce, lindor, price, lindt",13,2023-04-06
41,"physical, change, gym, retrained, rvmaby0gc8",10,2023-04-06
42,"record, broken, broke, batanetes, records",11,2023-04-06
43,"rich, how, ass, af52cao2og, uygsu8bizx",20,2023-04-06
44,"cake, llrfafhjl6, yess, corina, cuatro",3,2023-04-06
45,"café, con, leche, cafe, relaxing",12,2023-04-06
46,"face, fill, mouth, 6tbmdesla2, cfykkyzmzn",12,2023-04-06
47,"fill, calzón, jkt0n4hf3a, hdsppbpm, umzkex3gor",11,2023-04-06
48,"powdered, secretly, klim, dawn, wew0brslhp",15,2023-04-06
49,"telegram, channel, privately, video, content",14,2023-04-06
50,"oat, oats, oatmeal, 1q0umhgbcn, cinnamon",9,2023-04-06
51,"he, him, shyness, coffee, his",14,2023-04-06
52,"google, kqjvt2mlpf, 2fsexdxspl, mcen3wk2tv, zjt4tsxlyv",12,2023-04-06
53,"wtn2zxbscz, azn6zp5wep, lzjwzjmihr, bt2jildpch, bplzmikmrn",6,2023-04-06
54,"hooker, hookers, little, big, ass",15,2023-04-06
55,"tea, tapioca, onigiri, hojicha, bubble",11,2023-04-06
56,"pancakes, dulce, de, leche, syswulctjf",9,2023-04-06
